tweet_id,tweet_text,label
'503642976422096896',RT @nicoleewayne: Tennessee USA Knoxville http://t.co/RdBC6022xO #earthquake BREAKING NEWS 816 earthquake Northern California braces for afÃ¢â‚¬Â_,other_useful_information
'503642976976113664',RT @SFGate: We're updating this interactive map of reported damage from the #Napaquake. Check it out: http://t.co/24Db832o4U http://t.co/qyÃ¢â‚¬Â_,infrastructure_and_utilities_damage
'503642977588494337',"RT @YourAnonNews: Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ",injured_or_dead_people
'503642979429388288',RT @heyyouapp: Wisconsin USA Madison http://t.co/4LByErEec9 BREAKING NEWS 421 earthquake 6.0 earthquake jolts Bay Area damage and at least Ã¢â‚¬Â_,infrastructure_and_utilities_damage
'503642980881022976',"RT @scullather: ""@infodude: amazing use of #BigData from @Jawbone - How the Napa Earthquake Affected Bay Area Sleepers https://t.co/SSlD8wQÃ¢â‚¬Â_",other_useful_information
'503642982189252608',"RT @MarshGlobal: Napa, California #earthquake was region's most severe since 1989. Get tips on how affected should respond http://t.co/X4G6Ã¢â‚¬Â_",other_useful_information
'503642983666032640',#USAHeadlines Cleanup Efforts Underway after Major Earthquake in California http://t.co/TscSQQ2byw,other_useful_information
'503642984429395968',Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake: Jawbone has shown one of the mo... http://t.co/uPPDpHSkbF,other_useful_information
'503642985167609856',The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPAÃ‚Â Calif. (Reuters) - A 6.0 magnitude... http://t.co/GfBaXVvn8v,injured_or_dead_people
'503642985431830528',RT @SBSNews: State of emergency after 6.0 earthquake hits California wine country http://t.co/NxqywGfnQr http://t.co/tBh3OGFrR6,other_useful_information
'503642988522647552',RT @JSimrock: Thinking of all those dealing with the #aftermath of the #earthquake in #California.,sympathy_and_emotional_support
'503642992541171712',RT @RT_com: Economic losses from California earthquake could top $1 billion http://t.co/yAtwKZgCBA,infrastructure_and_utilities_damage
'503642993677443072',RT @dbfish: The single most California photo of all time. #napaquake http://t.co/1KIMJzNprs,other_useful_information
'503642995879849985',RT @heyyouapp: USA Ã‚Â» NEWS Ã‚Â» http://t.co/TPSViMWZMs HOT NEWS 425 Earthquake Northern California Struck by 6.0 Magnitude Earthquake #EarthquaÃ¢â‚¬Â_,other_useful_information
'503642996584513536',Did God Send Earthquake Because California Ship Workers DenyÃ‚Â Israel http://t.co/4md1LfhE7z,not_related_or_irrelevant
'503642998664884225',Jawbone knows how many of its users were roused by the Napa earthquake http://t.co/emzOlYAfMY,other_useful_information
'503642998832242689',RT @BurnTom: The extent of my parents helping me move to San Francisco has been them looking up Earthquake videos and warning me.,caution_and_advice
'503643000913006593',Boy Hurt in California Quake: 'I Should Be Dead': Boy badly hurt by bricks in California quake says lucky to b... http://t.co/PJIuASP2ps,other_useful_information
'503643001185636352',RT @Reuters: California wine country quake losses seen in the billions http://t.co/3ua2b5CFrY,infrastructure_and_utilities_damage
'503643001722118144',RT @Cal_OES: Napa Earthquake Victims Urged to Only Hire Licensed Contractors for Repairs | Cal OES Newsroom. http://t.co/mnrUAtrWnz,other_useful_information
'503643002875969536',Losses From California Quake Could Top $1 Billion - New York Times http://t.co/0jLTWnAVYb,other_useful_information
'503643003508883458',Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http://t.co/buyrmiykwI,not_related_or_irrelevant
'503643004759195650',Over 120 Injured in Napa Quake   via @BreitbartNews http://t.co/vc64NHsk76,injured_or_dead_people
